Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Electricity $/kWh,Service Area
"Direct Energy Regulated Services","Home","DERS Regulated Electricity Rate January 2024","01/01/2024","01/31/2024","0",="0.1939","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Small Business","DERS Regulated Electricity Rate January 2024","01/01/2024","01/31/2024","0",="0.19243","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Farm","DERS Regulated Electricity Rate January 2024","01/01/2024","01/31/2024","0",="0.19299","ATCO Electric,ATCO Gas North,ATCO Gas South,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Myrnam REA Ltd.,Zawale REA Ltd."
"EPCOR Energy Alberta GP Inc.","Home","January Regulated Rate Option - City of Edmonton","01/01/2024","01/31/2024","0",="0.19551","EPCOR"
"EPCOR Energy Alberta GP Inc.","Small Business","January Regulated Rate Option - City of Edmonton","01/01/2024","01/31/2024","0",="0.19258","EPCOR"
"EPCOR Energy Alberta GP Inc.","Home","January Regulated Rate Option - Outside Edmonton","01/01/2024","01/31/2024","0",="0.19348","FortisAlberta"
"EPCOR Energy Alberta GP Inc.","Small Business","January Regulated Rate Option - Outside Edmonton","01/01/2024","01/31/2024","0",="0.19363","FortisAlberta"
"EPCOR Energy Alberta GP Inc.","Farm","January Regulated Rate Option - Outside Edmonton","01/01/2024","01/31/2024","0",="0.19468","FortisAlberta"
"EPCOR Energy Alberta GP Inc.","Farm","January Regulated Rate Option - REA","01/01/2024","01/31/2024","0",="0.19939","Montana REA Ltd.,Stony Plain REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd."
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1887","ATCO Electric"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1891","ATCO Electric"
"Adagio Energy","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1873","ATCO Electric"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1858","ENMAX"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.188","ENMAX"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1867","City of Red Deer"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1867","City of Red Deer"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1845","Town of Cardston"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1845","Town of Cardston"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1833","Town of Ponoka"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1833","Town of Ponoka"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1869","EPCOR"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1869","EPCOR"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.183","FortisAlberta"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1847","FortisAlberta"
"Adagio Energy","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1844","FortisAlberta"
"Adagio Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1862","City of Lethbridge"
"Adagio Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1862","City of Lethbridge"
"ENMAX Energy Corp.","Home","January Regulated Rate","01/01/2024","01/31/2024","0",="0.1816","ENMAX"
"ENMAX Energy Corp.","Small Business","January Regulated Rate","01/01/2024","01/31/2024","0",="0.18057","ENMAX"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1925","ATCO Electric"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1929","ATCO Electric"
"Camrose Energy","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1911","ATCO Electric"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1895","ENMAX"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1917","ENMAX"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1904","City of Red Deer"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1904","City of Red Deer"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1883","Town of Cardston"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1883","Town of Cardston"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.187","Town of Ponoka"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.187","Town of Ponoka"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1907","EPCOR"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1907","EPCOR"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1868","FortisAlberta"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1885","FortisAlberta"
"Camrose Energy","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1881","FortisAlberta"
"Camrose Energy","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1899","City of Lethbridge"
"Camrose Energy","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1899","City of Lethbridge"
"City of Lethbridge","Home,Small Business","Regulated Rate January 2024","01/01/2024","01/31/2024","0",="0.17636","City of Lethbridge"
"Direct Energy","Home,Small Business","5 Year Super Flex Plus Electricity","01/01/2024","01/01/2024","60",="0.18","Alberta Municipal Power System,Armena REA Ltd.,ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,EQUS REA LTD.,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Niton REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
